"convocatoria_id";"convocatoria_numero";"periodo_academico";"estado"
595;21;"2018-2";""
596;22;"2019-1";""
597;21;"2019-1";""
598;22;"2019-2";""
599;21;"2019-2";""
600;21;"2020-1";""
601;22;"2020-1";""
602;21;"2020-2";""
603;22;"2020-2";""
604;21;"2021-1";""
605;22;"2021-1";""
606;21;"2021-2";""
607;22;"2021-2";""
608;26;"2021-1";""
609;26;"2021-2";""
610;27;"2021-2";""
611;26;"2022-1";""
612;27;"2022-1";""
613;21;"2022-1";""
614;22;"2022-1";""
615;21;"2022-2";""
616;22;"2022-2";""
617;26;"2022-2";""
618;27;"2022-2";""
619;26;"2023-1";""
620;21;"2023-1";""
621;22;"2023-1";""
622;27;"2023-1";""
623;21;"2023-2";""
624;22;"2023-2";""
625;26;"2023-2";""
626;27;"2023-2";""
627;26;"2021-3";""
628;26;"2022-3";""
629;3;"2018-2";""
630;4;"2019-1";""
631;3;"2019-1";""
632;5;"2019-2";""
633;4;"2019-2";""
634;3;"2019-2";""
635;3;"2020-1";""
636;4;"2020-1";""
637;5;"2020-1";""
638;6;"2020-1";""
639;3;"2020-2";""
640;4;"2020-2";""
641;5;"2020-2";""
642;7;"2020-2";""
643;6;"2020-2";""
644;8;"2021-1";""
645;3;"2021-1";""
646;4;"2021-1";""
647;5;"2021-1";""
648;6;"2021-1";""
649;7;"2021-1";""
650;4;"2021-2";""
651;5;"2021-2";""
652;3;"2021-2";""
653;6;"2021-2";""
654;7;"2021-2";""
655;8;"2021-2";""
656;5;"2022-1";""
657;6;"2022-1";""
658;8;"2022-1";""
659;3;"2022-1";""
660;4;"2022-1";""
661;7;"2022-1";""
662;3;"2022-2";""
663;5;"2022-2";""
664;6;"2022-2";""
665;8;"2022-2";""
666;4;"2022-2";""
667;11;"2022-2";""
668;7;"2022-2";""
669;6;"2023-1";""
670;8;"2023-1";""
671;3;"2023-1";""
672;5;"2023-1";""
673;4;"2023-1";""
674;7;"2023-1";""
675;3;"2023-2";""
676;8;"2023-2";""
677;4;"2023-2";""
678;5;"2023-2";""
679;10;"2022-1";""
680;12;"2023-1";""
